Sweep=01_2site; Energy=-138.323936497123; D=   9; time=4.1
Sweep=02_2site; Energy=-138.913727677133; D=  10; time=7.1
Sweep=03_2site; Energy=-138.914797795695; D=  10; time=6.7
Sweep=04_2site; Energy=-138.914801925906; D=  10; time=6.7
Sweep=05_2site; Energy=-138.940031624969; D=  32; time=9.7
Sweep=06_2site; Energy=-138.940042782529; D=  32; time=11.0
Sweep=07_2site; Energy=-138.940042838006; D=  32; time=10.8
Sweep=08_2site; Energy=-138.940042863880; D=  32; time=10.9
Sweep=09_2site; Energy=-138.940085549174; D=  64; time=12.6
Sweep=10_2site; Energy=-138.940085575521; D=  64; time=13.3
Sweep=11_2site; Energy=-138.940085575234; D=  64; time=13.0
Sweep=12_2site; Energy=-138.940085575191; D=  64; time=13.2
Sweep=13_2site; Energy=-138.940086140432; D= 128; time=17.3
Sweep=14_2site; Energy=-138.940086140666; D= 128; time=18.9
Sweep=15_2site; Energy=-138.940086140649; D= 128; time=18.3
Sweep=16_2site; Energy=-138.940086140649; D= 128; time=18.3
Sweep=17_2site; Energy=-138.940086143509; D= 256; time=23.6
Sweep=18_2site; Energy=-138.940086143513; D= 256; time=25.8
Sweep=19_2site; Energy=-138.940086143523; D= 256; time=24.9
Sweep=20_2site; Energy=-138.940086143519; D= 256; time=24.2
Sweep=21_2site; Energy=-138.940086143540; D= 384; time=32.4
Sweep=22_2site; Energy=-138.940086143529; D= 384; time=34.5
Sweep=23_2site; Energy=-138.940086143529; D= 384; time=32.2
Sweep=24_2site; Energy=-138.940086143530; D= 384; time=31.6
Sweep=25_2site; Energy=-138.940086143531; D= 512; time=45.0
Sweep=26_2site; Energy=-138.940086143519; D= 512; time=47.6
Sweep=27_2site; Energy=-138.940086143522; D= 512; time=48.0
Sweep=28_2site; Energy=-138.940086143526; D= 512; time=48.0
Sweep=29_2site; Energy=-138.940086143533; D= 768; time=68.9
Sweep=30_2site; Energy=-138.940086143529; D= 768; time=76.6
Sweep=31_2site; Energy=-138.940086143508; D= 768; time=76.1
Sweep=32_2site; Energy=-138.940086143528; D= 768; time=73.9
Sweep=33_2site; Energy=-138.940086143515; D=1024; time=98.5
Sweep=34_2site; Energy=-138.940086143538; D=1024; time=105.5
Sweep=35_2site; Energy=-138.940086143537; D=1024; time=104.1
Sweep=36_2site; Energy=-138.940086143531; D=1024; time=103.7
Sweep=37_2site; Energy=-138.940086143526; D=1536; time=167.8
Sweep=38_2site; Energy=-138.940086143524; D=1536; time=196.2
Sweep=39_2site; Energy=-138.940086143533; D=1536; time=194.8
Sweep=40_2site; Energy=-138.940086143542; D=1536; time=191.2
Sweep=41_2site; Energy=-138.940086143517; D=2048; time=288.2
Sweep=42_2site; Energy=-138.940086143527; D=2048; time=322.7
Sweep=43_2site; Energy=-138.940086143537; D=2048; time=323.1
Sweep=44_2site; Energy=-138.940086143529; D=2048; time=325.9
