Sweep=01_2site; Energy=-138.323936497133; D=   9; time=0.9
Sweep=02_2site; Energy=-138.913727677145; D=  10; time=1.3
Sweep=03_2site; Energy=-138.914797795694; D=  10; time=1.2
Sweep=04_2site; Energy=-138.914801925913; D=  10; time=1.2
Sweep=05_2site; Energy=-138.940031624990; D=  32; time=1.8
Sweep=06_2site; Energy=-138.940042782527; D=  32; time=2.0
Sweep=07_2site; Energy=-138.940042838006; D=  32; time=1.8
Sweep=08_2site; Energy=-138.940042863878; D=  32; time=1.9
Sweep=09_2site; Energy=-138.940085549165; D=  64; time=2.6
Sweep=10_2site; Energy=-138.940085575524; D=  64; time=2.4
Sweep=11_2site; Energy=-138.940085575246; D=  64; time=2.3
Sweep=12_2site; Energy=-138.940085575179; D=  64; time=2.2
Sweep=13_2site; Energy=-138.940086140440; D= 128; time=4.0
Sweep=14_2site; Energy=-138.940086140653; D= 128; time=4.2
Sweep=15_2site; Energy=-138.940086140650; D= 128; time=3.6
Sweep=16_2site; Energy=-138.940086140650; D= 128; time=3.6
Sweep=17_2site; Energy=-138.940086143504; D= 256; time=8.9
Sweep=18_2site; Energy=-138.940086143512; D= 256; time=11.6
Sweep=19_2site; Energy=-138.940086143521; D= 256; time=11.2
Sweep=20_2site; Energy=-138.940086143530; D= 256; time=10.4
Sweep=21_2site; Energy=-138.940086143524; D= 384; time=17.7
Sweep=22_2site; Energy=-138.940086143529; D= 384; time=19.0
Sweep=23_2site; Energy=-138.940086143531; D= 384; time=17.2
Sweep=24_2site; Energy=-138.940086143524; D= 384; time=17.2
Sweep=25_2site; Energy=-138.940086143532; D= 512; time=28.8
Sweep=26_2site; Energy=-138.940086143535; D= 512; time=31.3
Sweep=27_2site; Energy=-138.940086143529; D= 512; time=33.3
Sweep=28_2site; Energy=-138.940086143524; D= 512; time=33.3
Sweep=29_2site; Energy=-138.940086143522; D= 768; time=65.8
Sweep=30_2site; Energy=-138.940086143528; D= 768; time=79.7
Sweep=31_2site; Energy=-138.940086143536; D= 768; time=79.3
Sweep=32_2site; Energy=-138.940086143536; D= 768; time=78.9
Sweep=33_2site; Energy=-138.940086143517; D=1024; time=135.0
Sweep=34_2site; Energy=-138.940086143529; D=1024; time=156.3
Sweep=35_2site; Energy=-138.940086143530; D=1024; time=153.9
Sweep=36_2site; Energy=-138.940086143536; D=1024; time=150.1
Sweep=37_2site; Energy=-138.940086143532; D=1536; time=340.3
Sweep=38_2site; Energy=-138.940086143535; D=1536; time=424.1
Sweep=39_2site; Energy=-138.940086143521; D=1536; time=422.0
Sweep=40_2site; Energy=-138.940086143532; D=1536; time=420.9
Sweep=41_2site; Energy=-138.940086143527; D=2048; time=755.5
Sweep=42_2site; Energy=-138.940086143528; D=2048; time=870.2
Sweep=43_2site; Energy=-138.940086143533; D=2048; time=872.2
Sweep=44_2site; Energy=-138.940086143538; D=2048; time=878.1
